 Dental Aquaro PC; General Dentistry; 0; 0; Elmhurst; 9603 Roosevelt Avenue, Corona, NY 11368; (718) 396-9711 
Skin Made Simple; Skin Care, Dermatologists; 5.0 star rating; 4 reviews; Midtown East, Kips Bay; 222 E 31 St, Manhattan, NY 10016; (646) 509-0943 
Skinprovement Dermatology Center; Skin Care, Dermatologists; 5.0 star rating; 2 reviews; Midtown East, Murray Hill; 104 E 40th Street Rm 402, New York, NY 10016; (212) 557-7546 
Skintology Skin & Laser Center; Skin Care, Laser Hair Removal, Medical Spas; 4.0 star rating; 100 reviews; Chelsea; 181 7th Ave, New York, NY 10011; (212) 989-6555 
Sleep Disorders Institute; Medical Centers; 2.0 star rating; 15 reviews; Hell's Kitchen, Midtown West; 423 W 55th St, New York, NY 10019; (212) 994-5100 
Sleep Disorders Services Of New York; Health & Medical; 0; 0; Kew Gardens; 112-03, Queens Blvd Suite 201, Forest Hills, NY 11375; (718) 544-6660 
Sleep Medicine Associates of NYC; Sleep Specialists; 3.0 star rating; 5 reviews; Flatiron; 11 E 26th St, New York, NY 10010; (212) 481-1818 
Small Brooklyn Psychology Center; Psychologists; 0; 0; Clinton Hill; 895 Fulton St, Brooklyn, NY 11238; (718) 622-4058 
Smart Health Medical; Family Practice, Internal Medicine; 5.0 star rating; 30 reviews; Elmhurst; 83-45 Dongan Ave, Elmhurst, NY 11373; (718) 779-0454 
Smile Family Dentist; General Dentistry; 0; 0; East Harlem; 247 E 116th St, New York, NY 10029; (212) 410-3909 
Smile Partner Dental; Dentists; 4.5 star rating; 14 reviews; Downtown Flushing, Flushing; 41-25 Kissena Blvd, Flushing, NY 11355; (718) 353-2312 
Smile Savers Cosmetic Dental; Cosmetic Dentists, General Dentistry; 5.0 star rating; 1 review; East Flatbush; 3400 Snyder Avenue Suite 1B, Brooklyn, NY 11203; (855) 693-7269 
Smile Sensations; Dentists; 0; 0; Sunnyside; 4705 44th St, Woodside, NY 11377; (718) 752-9001 
Smooth; Hair Removal, Skin Care, Tattoo Removal; 4.5 star rating; 40 reviews; Midtown East; 133 E 58th St, New York, NY 10022; (212) 759-6997 
Social Anxiety Center of NY; Counseling & Mental Health; 0; 0; Upper West Side; 225 W End Ave, Manhattan, NY 10023; (212) 724-2299 
Social Work Counseling Services; Counseling & Mental Health; 0; 0; Astoria; 2924 Hoyt Ave S, Astoria, NY 11102; (718) 721-0633 
Soheli Azad Dental ; General Dentistry; 0; 0; Jackson Heights; 7017 37th Avenue, Jackson Heights, NY 11372; (718) 672-5050 
Soho Medical; Ear Nose & Throat, General Dentistry; 1.0 star rating; 3 reviews; SoHo; 589 Broadway Fl 2, New York, NY 10012; (212) 219-7600 
Soignez-Vous Aesthetics by Lisa Hartman, PA-C; Cosmetic Surgeons; 5.0 star rating; 4 reviews; Midtown East; 919 2nd Ave, Manhattan, NY 10017; (440) 665-2408 
Sonam Acupuncture; Acupuncture; 5.0 star rating; 9 reviews; Koreatown, Midtown East; 303 5th Ave, New York, NY 10016; (646) 535-2810 
Sophie Balzora, MD; Gastroenterologist; 0; 0; Theater District, Hell's Kitchen, Midtown West; 355 W 52nd St, New York, NY 10019; (646) 754-2100 
Sorkin’s Manhattan Gyn; Obstetricians & Gynecologists; 5.0 star rating; 4 reviews; Yorkville, Upper East Side; 157 E 72nd St, New York, NY 10021; (888) 665-2227 
Souferian B, DDS PC; General Dentistry, Cosmetic Dentists; 5.0 star rating; 6 reviews; Bay Ridge; 8301 3rd Ave, Brooklyn, NY 11209; (929) 267-3722 
Soulshine Chiropractic Studio; Chiropractors; 4.0 star rating; 1 review; Park Slope, South Slope; 917 8th Ave, Brooklyn, NY 11215; (718) 832-7390 
Soundview Dialysis Center; Dialysis Clinics; 0; 0; Soundview; 1600 Bruckner Boulevard, Bronx, NY 10473; (718) 861-2334 
South Bronx Dialysis Center; Dialysis Clinics; 0; 0; East Tremont; 1940 Webster Avenue, Bronx, NY 10457; (718) 716-3999 
South Bronx Dialysis Center; Dialysis Clinics; 0; 0; Morrisania; 3468 Park Ave, Bronx, NY 10456; (718) 401-2836 
South Island New Health Associates; Doctors; 1.0 star rating; 1 review; Canarsie; 8918 Ave L, Brooklyn, NY 11236; (718) 241-1234 
South Manhattan Dialysis Center; Dialysis Clinics; 0; 0; Greenwich Village; 510-526 Avenue of the Americas, New York, NY 10011; (212) 675-6880 
South Queens Dialysis Center; Dialysis Clinics; 3.0 star rating; 1 review; Jamaica; 17537 Liberty Avenue, Jamaica, NY 11433; (718) 297-9100 
South Shore Mental Health ; null; 0; 0; Great Kills; 3974 Amboy Rd, Staten Island, NY 10308; (718) 984-5050 
Southern Manhattan Dialysis Center; Dialysis Clinics; 0; 0; Greenwich Village; 65 W 13th St, New York, NY 10011; (212) 206-6989 
Southwest Physical Therapy; Physical Therapy, Massage, Naturopathic/Holistic; 5.0 star rating; 6 reviews; Windsor Terrace; 255 Windsor Pl, Brooklyn, NY 11218; (929) 274-2681 
SpeechWorks 4 Kids! Pediatric Speech Therapy; Health & Medical, Educational Services, Private Tutors; 0; 0; Midtown East, Murray Hill, Kips Bay; 222 E 34th St, Manhattan, NY 10016; (347) 234-5437 
Spencer Cox Center for Health; Medical Centers; 2.0 star rating; 5 reviews; Chelsea; 230 W 17th St, New York, NY 10011; (212) 523-6500 
Spinal Care of New York; Chiropractors; 5.0 star rating; 1 review; Lower East Side, Chinatown; 120 E Broadway, New York, NY 10002; (718) 577-8933 
Spiral2grow; Counseling & Mental Health; 5.0 star rating; 3 reviews; Midtown East, Murray Hill; 260 Madison Ave, New York, NY 10016; (917) 692-3867 
Sports PT of NY; Physical Therapy; 3.0 star rating; 2 reviews; Theater District, Midtown West; 1633 Broadway, New York, NY 10019; (212) 315-9578 
Spring Forward Physical Therapy; Physical Therapy; 5.0 star rating; 8 reviews; Upper East Side; 30 E 60th St, New York, NY 10022; (212) 996-9700 
Spring Ob/Gyn; Obstetricians & Gynecologists; 3.0 star rating; 71 reviews; SoHo; 135 Spring St, New York, NY 10012; (212) 219-1187 
Spring Street Dermatology; Dermatologists; 4.0 star rating; 134 reviews; SoHo; 73 Spring St, New York, NY 10012; (212) 431-4749 
Spyridon Condos, DDS; General Dentistry; 0; 0; Upper West Side; 115 Central Park W, New York, NY 10023; (646) 808-0120 
St Albans Dialysis; Dialysis Clinics; 0; 0; Rochdale; 17270 Baisley Boulevard, Jamaica, NY 11434; (718) 949-1800 
St Aloysius Education ; null; 0; 0; Harlem; 219 W 132nd St, New York, NY 10027; (212) 234-6495 
St Barnabas Hospital Hemodialysis; Dialysis Clinics; 0; 0; Belmont; 4758 3rd Ave, Bronx, NY 10458; (718) 960-3860 
St Luke’s Hospital; Hospitals, Urgent Care; 2.0 star rating; 12 reviews; Morningside Heights; 1111 Amsterdam Ave, New York, NY 10025; (212) 523-4000 
St Marks Painless Dental; General Dentistry; 3.0 star rating; 2 reviews; Crown Heights; 907 St Marks Ave, Brooklyn, NY 11213; (718) 778-3283 
St Pauls Center; null; 3.0 star rating; 1 review; Hell's Kitchen, Chelsea, Midtown West; 424 W 34th Street, New York, NY 10001; (212) 695-3444 
St. Barnabas Hospital OPD Dialysis Center; Dialysis Clinics; 0; 0; East Tremont; 4451 Third Ave, West Bronx, NY 10457; (718) 960-3860 
St. Marks Physical Therapy, PC; Physical Therapy; 0; 0; Springfield Gardens; 235-20 147th Ave, Rosedale, NY 11422; (347) 894-9860 
Stand-Up MRI of Bensonhurst; Medical Centers; 3.5 star rating; 3 reviews; Gravesend; 2671 86th St, Brooklyn, NY 11223; (718) 946-7308 
Stanton E Young, DMD; Cosmetic Dentists; 5.0 star rating; 21 reviews; NoHo; 14 E 4th St, New York, NY 10012; (212) 673-7381 
Starkman Gary, MD; Neurologist; 4.5 star rating; 7 reviews; Upper East Side; 1035 Park Ave, New York, NY 10028; (212) 987-1000 
Starosta Zalman Dr; Doctors; 1.0 star rating; 1 review; Brighton Beach; 3044 Coney Island Ave, Brooklyn, NY 11235; (718) 743-1903 
Statcare Urgent Medical Care; Urgent Care, Medical Centers, Pediatricians; 3.0 star rating; 51 reviews; Astoria; 37-15 23rd Avenue, Astoria, NY 11105; (347) 808-8830 
Staten Island Dialysis  Clinic / AKC; Dialysis Clinics; 0; 0; Bullshead; 1550 Richmond Ave., Staten Island, NY 10314; (718) 983-7000 
Staten Island Judo Jujitsu Dojo; Martial Arts; 5.0 star rating; 4 reviews; Richmond Town; 3485 Richmond Road, Staten Island, NY 10306; (718) 717-2143 
Stefan Cadag, DO; Health & Medical; 3.5 star rating; 6 reviews; Union Square, Gramercy, Flatiron; 10 Union Sq E, New York, NY 10003; (212) 844-8100 
Steinway Natural Dental; Cosmetic Dentists; 2.0 star rating; 6 reviews; Astoria; 31-49 Steinway St, New York, NY 11103; (718) 545-7175 
Stephen Clark, MD; Family Practice, Internal Medicine; 0; 0; Meatpacking District, West Village; 408 W 14th Street, New York, NY 10014; (212) 530-0639 
Stephen Lim, DDS and Associates; Cosmetic Dentists, Pediatric Dentists, General Dentistry; 4.5 star rating; 85 reviews; Midtown East, Murray Hill; 30 E 37th St, New York, NY 10016; (212) 679-4300 
Steps n Strides Physical Therapy; Physical Therapy; 0; 0; Whitestone, Flushing; 25-02 Francis Lewis Blvd, Flushing, NY 11358; (718) 357-1620 
Steve A Shoshany, DC; Chiropractors, Physical Therapy; 4.0 star rating; 35 reviews; Greenwich Village, NoHo; 632 Broadway, New York, NY 10012; (212) 645-8151 
Steve Horney; Physical Therapy, Rehabilitation Center; 5.0 star rating; 6 reviews; West Village; 600 Washington St, Manhattan, NY 10014; (646) 397-7869 
Steven Gruenstein, MD; Oncologist; 5.0 star rating; 1 review; Upper East Side; 12 E 86th St, New York, NY 10028; (212) 861-6660 
Steven J Pearlman, MD, FACS; Cosmetic Surgeons; 4.5 star rating; 13 reviews; Upper East Side; 521 Park Ave, New York, NY 10065; (212) 223-8300 
Steven J Simonte, MD; Allergists; 5.0 star rating; 21 reviews; TriBeCa; 147 Duane St, New York, NY 10013; (212) 924-7908 
Steven Lamm, MD PC; Doctors; 2.5 star rating; 16 reviews; Upper East Side; 12 E 86th St, New York, NY 10028; (212) 988-1146 
Steven Struhl, MD; Orthopedists; 4.5 star rating; 5 reviews; Midtown East; 681 Lexington Ave, New York, NY 10022; (212) 207-1990 
Steven Victor, MD; Dermatologists; 0; 0; Upper East Side; 30 E 76th St, New York, NY 10021; (212) 249-3050 
Steven Z Glickel, MD; Doctors; 0; 0; Hell's Kitchen, Midtown West; 1000 10th Ave, New York, NY 10019; (212) 523-7590 
Stevens Patricia Zimmardi PHD; Counseling & Mental Health; 5.0 star rating; 1 review; Park Slope, South Slope; 457 12th St, Brooklyn, NY 11215; (718) 499-5990 
Stevenson Family Health Center; Family Practice, Medical Centers; 1.0 star rating; 2 reviews; Soundview; 731 White Plains Rd, Bronx, NY 10473; (718) 589-8775 
Stewart Ellen, MD; Doctors; 4.0 star rating; 4 reviews; Midtown East, Murray Hill; 161 Madison Ave, New York, NY 10016; (212) 725-1390 
Stuart Lewis, MD; Internal Medicine; 3.5 star rating; 20 reviews; SoHo; 594 Broadway, New York, NY 10012; (212) 219-8858 
Studio Optix; Optometrists, Eyewear & Opticians; 3.0 star rating; 67 reviews; Midtown West; 63 W 49th, New York, NY 10112; (212) 765-4444 
Stutman Gabrielle, PHD; Psychologists; 0; 0; Koreatown, Midtown East; 303 Fifth Ave, New York, NY 10016; (212) 254-7390 
Sugi Acupressure; Traditional Chinese Medicine; 5.0 star rating; 4 reviews; Upper West Side; 1841 Broadway, New York, NY 10023; (646) 823-5386 
Suite Retreat; Day Spas, Naturopathic/Holistic; 5.0 star rating; 10 reviews; Midtown East, Murray Hill, Kips Bay; 124 E 40th St, Manhattan, NY 10016; (212) 661-8030 
Sujan Patel, MD; Allergists, Ear Nose & Throat; 0; 0; South Williamsburg; 101 Broadway, Ste 201, Brooklyn, NY 11211; (718) 384-6933 
Sujan Patel, MD; Allergists; 5.0 star rating; 1 review; Gramercy, East Village; 310 E 14th St, 6th Fl, New York, NY 10003; (646) 943-7931 
Summers Brenda; Doctors; 5.0 star rating; 1 review; Morrisania; 3250 3rd Ave, Bronx, NY 10456; (718) 328-3668 
Sunlight Acupuncture, PC; Acupuncture; 4.5 star rating; 3 reviews; Midtown West; 247 W 35th St, Manhattan, NY 10001; (212) 244-3919 
Sunnyside Family Footcare; Podiatrists; 0; 0; Sunnyside; 44-15 43rd Ave, Sunnyside, NY 11104; (718) 784-1767 
Sunnyside Orthodontics; Orthodontists; 3.5 star rating; 5 reviews; Sunnyside; 43-12 43rd St, Long Island City, NY 11104; (718) 433-2304 
Sunrise Medical Group; Medical Centers; 2.5 star rating; 58 reviews; Fort Greene; 55 Greene Ave, Brooklyn, NY 11238; (718) 789-5900 
Sunrise Pain and Rehabilitation Medicine, PC; Rehabilitation Center; 5.0 star rating; 2 reviews; Sunset Park; 4602 6th Ave, Brooklyn, NY 11220; (347) 763-1091 
Sunshine Bodyworks; Massage Therapy, Reflexology; 4.5 star rating; 24 reviews; Yorkville, Upper East Side; 400 E 74th St, Manhattan, NY 10021; (212) 879-1830 
Suny Parkside Dialysis Center; Dialysis Clinics; 0; 0; Prospect Lefferts Gardens, Flatbush; 710 Parkside Ave, Prospect Lefferts Gardens, NY 11226; (718) 703-5900 
Supriya Kothavale, DO; Psychiatrists; 0; 0; Union Square, Greenwich Village; 817 Broadway, New York, NY 10003; (347) 913-5954 
Supriya Kothavale, DO; Psychiatrists; 0; 0; Williamsburg - North Side; 378 Union Ave, Brooklyn, NY 11211; (347) 913-5954 
Sury Kala MD; Doctors; 3.5 star rating; 3 reviews; Park Slope, Gowanus, South Slope; 270 9th St, Brooklyn, NY 11215; (718) 965-0708 
Susan Cappi, MD; Psychiatrists; 2.0 star rating; 2 reviews; Upper East Side; 132 E 64th St, New York, NY 10021; (212) 588-1314 
Susan Ciminelli Beauty ; Day Spas, Skin Care, Reflexology; 4.0 star rating; 23 reviews; Midtown East; 118 E 57th St, New York, NY 10022; (212) 750-4441 
Susan Lambert, LCSW; Counseling & Mental Health; 3.5 star rating; 2 reviews; Greenwich Village; 80 E 11th St, Manhattan, NY 10003; (917) 858-9948 
Susie Chung, MD; Internal Medicine; 1.5 star rating; 10 reviews; Chinatown; 139 Centre St, Manhattan, NY 10013;  
Swedish Institute College of Health Sciences; Acupuncture, Specialty Schools; 3.0 star rating; 10 reviews; Chelsea; 226 W 26th St, New York, NY 10001; (212) 924-5900 
Symmetry Medicine; Dermatologists; 5.0 star rating; 1 review; Manhattan Valley; 2689 Broadway, New York, NY 10025; (347) 480-9958 
Symmetry Medicine; Skin Care, Cosmetics & Beauty Supply, Dermatologists; 5.0 star rating; 11 reviews; West Village; 62 Charles St, Manhattan, NY 10014; (347) 480-9958 
Synergetic Psychotherapy; Counseling & Mental Health; 0; 0; Greenwich Village; 41 E 11th St, Manhattan, NY 10003; (917) 399-3837 
Synergy Health Associates; Chiropractors, Nutritionists; 5.0 star rating; 3 reviews; Union Square, Greenwich Village; 80 5th Ave, Manhattan, NY 10011; (212) 243-5515 
TAI Chiropractic; Chiropractors; 5.0 star rating; 3 reviews; Midtown West; 2 W 45th St, Manhattan, NY 10036; (212) 931-8544 
THRIVE Integrated Physical Therapy PC; Physical Therapy; 4.5 star rating; 10 reviews; Greenwich Village; 611 Broadway, New York, NY 10012; (212) 254-7750 
TLC Rehabilitation Physical Therapy; Physical Therapy, Acupuncture; 4.5 star rating; 2 reviews; Bensonhurst; 6501 Bay Pkwy, Bensonhurst, NY 11204; (718) 238-9392 
Taiji Body Work; Massage, Reflexology; 4.0 star rating; 224 reviews; Greenwich Village; 45 W 8th St, New York, NY 10011; (212) 982-8295 
Tal Lebel Family Dentistry; Pediatric Dentists, Cosmetic Dentists, General Dentistry; 4.0 star rating; 10 reviews; Midwood, Sheepshead Bay; 1912 Ave U, Brooklyn, NY 11229; (718) 648-3434 
Talia Klein, Ph.D; Counseling & Mental Health; 0; 0; Midtown East; 501 5th Ave, New York, NY 10017; (917) 209-2414 
Tataway; Tattoo Removal, Skin Care; 5.0 star rating; 44 reviews; Flatiron; 381 Park Ave S, New York, NY 10016; (857) 284-4800 
Tatiana Sarkisian  DDS PLLC; General Dentistry, Cosmetic Dentists; 5.0 star rating; 2 reviews; Upper East Side; 139 E 63 St, Manhattan, NY 10065; (646) 265-0299 
Tattooed Therapist; Counseling & Mental Health; 0; 0; Williamsburg - North Side; 181 N 11th St, Brooklyn, NY 11211; (646) 912-0873 
Tee Acupuncture; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 2 reviews; Chinatown; 139 Centre St, New York, NY 10013; (347) 460-7234 
Telfeyan N Lael, PhD, LCSW; Counseling & Mental Health; 0; 0; Manhattan Valley; 140 W 97th St, New York, NY 10025; (212) 535-1789 
Temple of Wellness; Naturopathic/Holistic, Medical Centers; 5.0 star rating; 1 review; Midwood; 1728 E. 19th  Street, apt. 1A, Brooklyn, NY 11223; (347) 495-8489 
The Berkley Center; Acupuncture, Fertility, Medical Centers; 5.0 star rating; 4 reviews; Midtown East; 16 East 40th St, New York, NY 10016; (212) 685-0985 
The Biamonte Center; Medical Centers, Naturopathic/Holistic; 0; 0; Chinatown, TriBeCa, Civic Center; 291 Broadway Suite 1002, New York, NY 10007; (212) 587-2330 
The Bronx Dental Center; Orthodontists, Cosmetic Dentists, General Dentistry; 5.0 star rating; 1 review; Concourse; 47 E 167th St, Bronx, NY 10452; (718) 293-1603 
The Bronx Dialysis Center; Dialysis Clinics; 0; 0; Westchester Square; 1615 Eastchester Road, Bronx, NY 10461; (718) 892-7700 
The Brooklyn Hospital Center; Hospitals; 2.0 star rating; 69 reviews; Fort Greene; 121 Dekalb Ave, Brooklyn, NY 11201; (718) 250-8000 
The Center For Health & Healing; Family Practice, Physical Therapy; 3.5 star rating; 79 reviews; Flatiron; 245 5th Ave, New York, NY 10016; (646) 935-2280 
The Center For Motivation & Change; Counseling & Mental Health; 0; 0; Midtown West; 276 5th Ave, New York, NY 10001; (212) 683-3339 
The Center for Chiropractic & Decompression NYC; Chiropractors, Physical Therapy; 5.0 star rating; 10 reviews; Flatiron; 1201 Broadway, New York, NY 10001; (646) 770-0916 
The Chiro Express; Chiropractors, Home Health Care, Naturopathic/Holistic; 0; 0; Prospect Lefferts Gardens, Prospect Heights; 507 Flatbush Ave, Brooklyn, NY 11202; (347) 429-6998 
The Dental Boutique; General Dentistry, Cosmetic Dentists; 5.0 star rating; 12 reviews; Midtown West; 151 W 30th St, New York, NY 10001; (646) 649-3116 
The Eastern ; Nutritionists, Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 1 review; Upper West Side; 2109 Broadway, Manhattan, NY 10023; (347) 458-5891 
The Family Planning  Clinic  At Long Is Collge Hsptl; null; 0; 0; Cobble Hill; 97 Amity St, Brooklyn, NY 11201; (718) 780-2983 
The Financial ; null; 0; 0; Chelsea, Midtown West; 115 W 30th St Rm 702, New York, NY 10001; (646) 810-4042 
The Floating Hospital; Hospitals; 3.5 star rating; 3 reviews; Long Island City; 41-43 Crescent St, Long Island City, NY 11101; (718) 784-2240 
The George & Eva Nell Barbee Family Health Center; Medical Centers; 2.0 star rating; 1 review; Harlem; 266 W 145th St, New York, NY 10039; (212) 690-4002 
The Healthy Body; Chiropractors, Acupuncture, Massage Therapy; 0; 0; Heartland Village; 271 Kelley Boulevard, Staten Island, NY 10314; (718) 698-5600 
The Home Depot; Nurseries & Gardening, Appliances, Hardware Stores; 2.5 star rating; 40 reviews; Coney Island; 2970 Cropsey Avenue, Brooklyn, NY 11214; (718) 333-9850 
The KôR MediSpa; Medical Spas, Laser Hair Removal; 5.0 star rating; 5 reviews; Jamaica; 87-16 Avon St, Queens, NY 11432; (917) 794-4701 
The Mackool Eye Institute; Ophthalmologists, Laser Eye Surgery/Lasik; 4.0 star rating; 11 reviews; Astoria; 31-27 41st St, Astoria, NY 11103; (718) 728-3400 
The Mount Sinai Hospital; Hospitals, Cardiologists; 3.0 star rating; 86 reviews; East Harlem; 1468 Madison Ave, New York, NY 10029; (212) 241-6500 
The New York Hypnosis Center; Counseling & Mental Health; 0; 0; Bayside; 214-15 33rd Ave., New York, NY 11361; (718) 225-4259 
The Ny Hosp Med Ctr of Queens; Dialysis Clinics; 0; 0; Queensborough Hill, Flushing; 56-45 Main St, Flushing, NY 11355; (718) 670-1258 
The OB/Gyn Pavilion; Doctors; 1.0 star rating; 2 reviews; Sunset Park; 313 43rd St, Brooklyn, NY 11232; (718) 369-1900 
The Physical Medicine & Rehabilitation Center; Physical Therapy; 3.0 star rating; 2 reviews; North Riverdale; 5676 Riverdale Ave, Bronx, NY 10471; (718) 884-1200 
The Quantum Hypnosis Therapy NY; Psychologists, Hypnosis/Hypnotherapy; 0; 0; Theater District, Midtown West; 165 W 46th St, New York, NY 10036; (212) 819-1214 
